Ticker,Nome,Setor,Preço,P/L,P/VP,Dividend Yield,ROE,LPA,VPA,Preço Justo Graham,Preço Teto Bazin,Score (0-5)
EQTL3,Equatorial S.A.,Utilidade Pública,R$ 40.20,71.79,1.93,6.0%,5.0%,0.56,20.82,R$ 16.20,R$ 39.50,1.0
EMBJ3,Embraer S.A.,Bens Industriais,R$ 98.45,31.16,3.91,1.02%,12.19%,3.16,25.16,R$ 42.29,R$ 18.50,1.0
KLBN11,Klabin S.A.,Materiais Básicos,R$ 19.19,29.03,2.49,6.05%,3.65%,0.66,7.71,R$ 10.71,R$ 27.33,1.0
MBRF3,MBRF Global Foods Company S.A.,Consumo Defensivo,R$ 16.84,60.14,2.05,30.0%,0.91%,0.28,8.23,R$ 7.20,R$ 94.00,1.0
RADL3,Raia Drogasil S.A.,Saúde,R$ 20.61,24.25,4.94,2.13%,19.99%,0.85,4.17,R$ 8.93,R$ 7.33,1.0
RAIL3,Rumo S.A.,Bens Industriais,R$ 15.41,23.35,1.98,30.0%,8.81%,0.66,7.8,R$ 10.76,R$ 1.83,1.0
VALE3,Vale S.A.,Materiais Básicos,R$ 72.55,31.06,1.64,7.74%,5.27%,2.34,44.3,R$ 48.25,R$ 93.54,1.0
WEGE3,WEG S.A.,Bens Industriais,R$ 51.08,34.28,12.31,4.14%,30.79%,1.49,4.15,R$ 11.80,R$ 25.83,1.0
YDUQ3,Yduqs Participações S.A.,Consumo Defensivo,R$ 11.14,26.52,0.97,5.11%,3.75%,0.42,11.46,R$ 10.41,R$ 19.00,1.0
BRKM5,Braskem S.A.,Materiais Básicos,R$ 4.45,,-0.28,4.57%,,-6.95,-15.79,R$ 0.00,R$ 3.39,0.0
